A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
1.15567302434684,1.04969306601967,1.53283521350027,1.28937680463629,1,332.9,14,2.1,1.0,0.25555660364870175,1.7714563070111913,1.28937680463629,0.14860792909477816
1.15539076275985,1.05166940365215,1.52444906640562,1.27279436502251,1,332.9,14,2.1,1.0,0.26465754972983524,1.7613343696229307,1.27279436502251,0.12350660271607827
1.15557893715118,1.05063827097433,1.51613915701183,1.28114700127241,1,332.9,14,2.1,1.0,0.24689175219859483,1.7520184756330166,1.28114700127241,0.11768533122417169
1.11690909973307,1.02253990550377,1.42412025207326,1.27549668851512,0,33.0,18,0.9,1.0,0.15197352463637415,1.5906128686547776,1.27549668851512,-0.1949683669890474
1.11606231497209,1.02168062827225,1.4167251950898,1.27832184489377,0,33.0,18,0.9,1.0,0.14140402178326417,1.5811536009112082,1.27832184489377,-0.21307895658580267
1.11719136132007,1.02168062827225,1.41032122821752,1.26714405226522,0,33.0,18,0.9,1.0,0.14628134708119228,1.575598692850924,1.26714405226522,-0.23512105933094762
1.14297125293213,1.05235682543736,1.45705493884498,1.26124807373587,0,33.0,18,0.9,1.0,0.20605869096506443,1.6653719090425951,1.26124807373587,-0.04238542464141681
1.14334760171479,1.05089605414379,1.44981235726324,1.27242586636442,0,33.0,18,0.9,1.0,0.18641476334398333,1.657639481613392,1.27242586636442,-0.04521784422488939
1.14250081695381,1.05072419869748,1.44226482487805,1.26960070998578,0,33.0,18,0.9,1.0,0.1814223637639901,1.6477887406869158,1.26960070998578,-0.06627610095120273
1.1472992639327,1.04866193334185,1.46597474984565,1.2745140254269,0,33.0,18,0.9,1.0,0.20077757342799737,1.681911751441838,1.2745140254269,0.0016289086822900423
1.14720517673704,1.04737301749457,1.45880840596477,1.29121929792671,0,33.0,18,0.9,1.0,0.1755283097850462,1.6735525551902934,1.29121929792671,0.00223241185358547
1.14626430478039,1.04754487294088,1.45126087357958,1.27733918180555,0,33.0,18,0.9,1.0,0.18219077651108923,1.6635285363086787,1.27733918180555,-0.027478055931393852
1.1713,1.0246,1.76977777777778,1.31,0,42.0,7,1.9,1.0,0.4710883111111132,2.0729407111111136,1.31,0.4157475708980132
1.1705,1.0242,1.76266666666667,1.31811764705882,0,42.0,7,1.9,1.0,0.45530710588235984,2.063201333333337,1.31811764705882,0.4130439330315119
1.1709,1.0242,1.75644444444444,1.312,0,42.0,7,1.9,1.0,0.45519999999999544,2.056620799999995,1.312,0.40629144919112115
1.1822,1.0544,1.78488888888889,1.31682352941176,0,42.0,7,1.9,1.0,0.4935281150326859,2.1100956444444456,1.31682352941176,0.47538455564856985
1.1805,1.0523,1.77855555555556,1.32294117647059,0,42.0,7,1.9,1.0,0.479443011111114,2.099584833333339,1.32294117647059,0.46921216923761944
1.1815,1.0556,1.77188888888889,1.30858823529412,0,42.0,7,1.9,1.0,0.48906016993463913,2.0934867222222233,1.30858823529412,0.46219564929886614
1.1905,1.0674,1.83233333333333,1.31329411764706,0,42.0,7,1.9,1.0,0.5540224588235245,2.1813928333333292,1.31329411764706,0.5308051857042964
1.1897,1.0666,1.824,1.32976470588235,0,42.0,7,1.9,1.0,0.5271513647058855,2.1700128,1.32976470588235,0.531223085848497
1.1913,1.0694,1.81866666666667,1.31129411764706,0,42.0,7,1.9,1.0,0.5425842039215708,2.166577600000004,1.31129411764706,0.5245303559107724
1.1744,1.1011,1.4772,1.241,0,1.0,405,0.0,1.0,0.26007981999999996,1.7348236800000003,1.241,0.08773765923200716
1.175,1.1024,1.4733,1.2381,0,1.0,405,0.0,1.0,0.2592844800000001,1.7311275000000002,1.2381,0.08012663043997703
1.1743,1.1001,1.4694,1.2371,0,1.0,405,0.0,1.0,0.25555322999999996,1.72551642,1.2371,0.06940599215361898
1.1861,1.1036,1.4767,1.2288,0,1.0,405,0.0,1.0,0.27358244,1.7515138699999997,1.2288,0.11453350488221337
1.1858,1.1026,1.4716,1.2284,0,1.0,405,0.0,1.0,0.2681523200000001,1.74502328,1.2284,0.1040132698198879
1.1855,1.105,1.4674,1.2249,0,1.0,405,0.0,1.0,0.26796249999999994,1.7396027,1.2249,0.09257328879459514
1.1913,1.0991,1.4833,1.2349,0,1.0,405,0.0,1.0,0.2730164399999999,1.76705529,1.2349,0.1466377597177122
1.192,1.0982,1.4789,1.2317,0,1.0,405,0.0,1.0,0.2714750400000001,1.7628488,1.2317,0.13843414877537996
1.1912,1.0976,1.4739,1.232,0,1.0,405,0.0,1.0,0.26550944,1.75570968,1.232,0.12759103656808768
1.1975,1.0987,1.71088888888889,1.31517647058824,0,93.1,12,4.4,1.0,0.43476923398692413,2.048789444444446,1.31517647058824,0.48607330924458747
1.1978,1.0963,1.70588888888889,1.31517647058824,0,93.1,12,4.4,1.0,0.42833802418300243,2.043313711111112,1.31517647058824,0.4803818155922086
1.1981,1.0995,1.69966666666667,1.30494117647059,0,93.1,12,4.4,1.0,0.4340006764705899,2.036370633333337,1.30494117647059,0.47262069805530715
1.207,1.1079,1.74277777777778,1.30952941176471,0,93.1,12,4.4,1.0,0.47999586470588024,2.1035327777777804,1.30952941176471,0.5344258870867249
1.2074,1.1061,1.737,1.31352941176471,0,93.1,12,4.4,1.0,0.4684008176470544,2.0972538000000003,1.31352941176471,0.531147846635547
