B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6
10674,9786,8853,8637,10503,11836,10481,1,-33.160658802476775,11886103.374296116,-295149848940.2865,-3.2352827544042076e+16,10674.0,-2.9974506634148446e+26
10737,9872,8883,8711,11112,11989,10225,1,-23.752522640741677,12359144.505596885,-400444866571.8054,-3.436911623511495e+16,10737.0,-3.915552356619463e+26
10761,9874,8880,8627,10835,11981,10230,1,-39.021916564706316,12471839.908282794,-393152220503.3556,-3.3241967709430772e+16,10761.0,-3.5785218464173644e+26
10706,9830,8831,8559,10422,11284,10146,1,-29.215542647697518,12501369.446762534,-232348386793.8642,-3.1618348851289304e+16,10706.0,-2.6721467595740493e+26
10629,9753,8797,8563,11070,11748,10107,1,-19.269883546514073,11747375.45878294,-357172266227.3587,-3.272956448165291e+16,10629.0,-3.805227557696813e+26
10619,9739,8826,8637,10686,12006,10480,1,-28.297940469265303,11567169.642222306,-339725906515.99335,-3.255318732007463e+16,10619.0,-3.332216057829655e+26
10643,9791,8812,8551,10297,11944,10763,1,-31.91372367789735,12961225.478239529,-254676234692.0563,-3.1552804873860724e+16,10643.0,-2.8882040303642214e+26
10603,9758,8852,8694,11195,12382,10649,1,-17.002051953896032,11594941.51644119,-403679836317.2232,-3.4261202611125184e+16,10603.0,-4.3555691255085775e+26
10651,9751,8811,8667,10953,12102,10598,1,-17.65887148979112,12082888.079616101,-338097126530.5935,-3.3480888405426756e+16,10651.0,-3.958686458106661e+26
10602,9686,8752,8528,10743,11760,10365,1,-19.823545291793934,11756927.872164866,-298838198778.7112,-3.1706859328927424e+16,10602.0,-3.493947263083523e+26
10717,9864,8921,8722,11475,12366,10305,1,-20.685515899764813,11729648.84481391,-489253919323.2588,-3.533374425224191e+16,10717.0,-4.680468805879611e+26
10747,9867,8883,8625,10437,11658,10306,1,-44.925863858956134,12460008.423439613,-289928495774.42883,-3.2341519085423788e+16,10747.0,-2.792152101529623e+26
10767,9891,8915,8712,10937,12003,10497,1,-22.224701080107792,12503540.209310006,-337770279093.645,-3.428470399649179e+16,10767.0,-3.819985542274571e+26
10677,9815,8855,8639,10517,12152,10983,1,-22.29458203808777,12884388.056525763,-258714008281.82645,-3.288487003954606e+16,10677.0,-3.3974873642875406e+26
10599,9773,8833,8689,11114,12769,10842,1,-21.31924079816241,12341223.853078686,-465806120752.5661,-3.4227756706307056e+16,10599.0,-4.504826501997896e+26
10580,9704,8727,8532,10374,11555,10247,1,-31.55547442134517,12312172.61678683,-274566128868.55734,-3.085186899361075e+16,10580.0,-2.7176242521339167e+26
10612,9746,8787,8616,10803,11980,10401,1,-23.675133886981396,12163758.759781066,-350915944509.6276,-3.261327360518364e+16,10612.0,-3.534116661486855e+26
10653,9782,8808,8583,10758,11992,10338,1,-30.45314117532872,12318814.355734348,-367925430555.86896,-3.243361078108041e+16,10653.0,-3.496108206726798e+26
10546,9721,8778,8656,11122,12602,10561,1,-23.6153566094655,12073569.214710511,-488507549987.0108,-3.355531920925981e+16,10546.0,-4.2434821315602204e+26
10253,9364,8356,7946,9328,9634,8934,1,-60.46838216476985,11335518.483711623,-111550025019.2409,-2.3535684580072172e+16,10253.0,-1.0101258033211923e+26
10268,9442,8585,8444,10912,12257,10490,1,-16.48513908758019,10752460.08684283,-396762683225.3287,-3.0541599219935252e+16,10268.0,-3.747596374484787e+26
10211,9321,8307,7955,9437,10189,9363,1,-44.93146846085773,11957001.991217757,-139985292383.3562,-2.3802109287089844e+16,10211.0,-1.3273432248907645e+26
10203,9355,8391,8075,9856,10889,9563,1,-56.14773178187991,11413768.417162623,-249536874805.94952,-2.5414131687512976e+16,10203.0,-1.8703345827623048e+26
10255,9358,8413,8100,9793,10926,9840,1,-37.018662970629634,11469995.83515986,-203013834051.39505,-2.5632647040983308e+16,10255.0,-1.9099952482121692e+26
