B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
10288,9484,8653,8495,11111,13069,10940,1,-5.224544137317293,8653.0,-100740631.99999999,10781.000000311546,105842944.0,2317982088688.0,2270158535088.0
10191,9335,8373,8031,9871,10651,9576,1,22.414298568503256,8373.0,-73917655.99999999,9233.000000598066,103856481.0,1874294651487.0,1712034828111.0
10227,9348,8428,8085,10426,10759,9348,1,71.02083333333333,8428.0,-77438832.0,9004.000002248034,104591529.0,1890433879131.0,1633751914611.0
10202,9314,8370,8023,10180,10760,9338,1,29.28860400072254,8370.0,-74713866.0,8990.000001740249,104080804.0,1857120794546.0,1624328899434.0
10237,9373,8421,8122,10083,11005,10038,1,-83.06322755009785,8421.0,-80085194.00000001,9738.000000087313,104796169.0,1999279230973.0,1888874039461.0
10205,9303,8307,7905,9375,10212,9304,1,8.288996245740679,8307.0,-65826630.00000001,8901.000000144748,104142025.0,1773426053165.0,1610617534301.0
10271,9368,8408,8100,9776,10896,9918,1,31.367107589753648,8408.0,-75698639.99999999,9608.999999723572,105493441.0,1950156752303.0,1842998951135.0
10176,9295,8310,7928,9392,9871,9055,1,7.423924449931675,8310.0,-64500760.0,8672.00000072479,103550976.0,1721888958336.0,1524250344926.0
10199,9332,8352,8011,9614,10010,9062,1,8.809100957183949,8352.0,-67136462.00000001,8720.000001201393,104019601.0,1751052571947.0,1532684778615.0
10171,9303,8302,7942,9608,10551,9613,1,15.449181332677218,8302.0,-71108857.00000001,9251.999999990066,103449241.0,1849000776924.0,1719376172185.0
10196,9330,8361,8059,9989,11503,10211,1,-40.46291613515703,8361.0,-80359139.00000001,9907.999999586327,103958416.0,2011327296760.0,1945575972056.0
10232,9337,8365,8002,9552,9952,9039,1,7.8805162414490715,8365.0,-65980918.000000015,8675.00000111032,104693824.0,1746987859904.0,1525731561386.0
10197,9298,8303,7939,9758,10873,9744,1,24.152771876194148,8303.0,-73275794.0,9379.000000026988,103978809.0,1893395938005.0,1765607197653.0
10194,9304,8328,7961,9488,9976,9038,1,7.837897900786541,8328.0,-65382894.0,8670.000000971842,103917636.0,1731370336818.0,1520002752146.0
10188,9287,8301,7924,9579,10461,9474,1,12.327500256019558,8301.0,-69416192.99999999,9096.000000210819,103795344.0,1820967309180.0,1667140510212.0
10228,9308,8256,7826,9040,9190,8600,1,4.621208755704535,8256.0,-56245696.0,8169.0000009779005,104611984.0,1613904768628.0,1376839370228.0
10174,9284,8216,7797,9135,9594,8726,1,5.280733645004545,8216.0,-58390546.0,8306.000000886455,103510276.0,1635207959930.0,1413824645342.0
10147,9251,8151,7703,8619,9111,8698,1,4.164640666804645,8151.0,-52865166.0,8248.999999828711,102961609.0,1577181299367.0,1399772594555.0
10165,9273,8219,7805,9275,9673,8971,1,6.523591915954369,8219.0,-61765685.000000015,8556.000000642633,103327225.0,1691396117985.0,1492560595351.0
10129,9215,8106,7666,8944,9135,8341,1,4.306392837763561,8106.0,-53022330.99999999,7900.00000135761,102596641.0,1534181084380.0,1282217148959.0
10203,9331,8328,7971,10153,10597,9065,1,16.087216076098645,8328.0,-71790565.0,8707.000002287536,104101209.0,1802078969583.0,1533535397153.0
10212,9330,8418,8070,11050,11287,9272,1,-23.2179138520922,8418.0,-82643580.00000001,8923.000003671306,104284944.0,1929693842532.0,1604199911652.0
10163,9282,8313,7907,10664,10459,8894,1,43.150745199498694,8313.0,-74975139.99999999,8487.000003782188,103286569.0,1802913405175.0,1468472483267.0
10211,9306,8267,7889,9880,10125,8864,1,9.422368231608239,8267.0,-66847810.00000001,8485.000002169096,104264521.0,1736530702755.0,1462354081763.0
