B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9
10603,9758,8852,8694,11195,12382,10649,1,0.3153193389906208,1.1977061317854596,-1.1808029430281214e+28,8852.0,2624.0,322893815.6996901,1909.0,-107649935.0,12382.0
10651,9751,8811,8667,10953,12102,10598,1,0.3004656258559299,1.2087276378995055,-1.1141785622437547e+28,8811.0,2351.0,309227508.69992554,1984.0,-104888598.0,12102.0
10602,9686,8752,8528,10743,11760,10365,1,0.2799962766452574,1.2112773164523511,-1.006913555217887e+28,8752.0,2074.0,292900911.43144584,2074.0,-100289741.0,11760.0
10717,9864,8921,8722,11475,12366,10305,1,0.3002178649237473,1.2012214387339832,-1.1926189210211176e+28,8921.0,2502.0,321363619.3884352,1995.0,-107857370.0,12366.0
10747,9867,8883,8625,10437,11658,10306,1,0.26588100028743894,1.2097385298513719,-9.811563559791664e+27,8883.0,1791.0,284058357.2006876,2122.0,-100550618.0,11658.0
10767,9891,8915,8712,10937,12003,10497,1,0.28234433574106244,1.207638917386968,-1.1278834700489258e+28,8915.0,2112.0,303776147.3417561,2055.0,-104570666.0,12003.0
10677,9815,8855,8639,10517,12152,10983,1,0.31349244081011696,1.2056573307021796,-1.116997224468583e+28,8855.0,2337.0,310397218.6956454,2038.0,-104981337.0,12152.0
10599,9773,8833,8689,11114,12769,10842,1,0.3541479215403995,1.1998301664386108,-1.2007178004441978e+28,8833.0,2996.0,338436811.62131476,1910.0,-110950828.0,12769.0
10580,9704,8727,8532,10374,11555,10247,1,0.2726045883940621,1.212227404021873,-9.105453582302126e+27,8727.0,1851.0,279915756.969627,2048.0,-98587591.0,11555.0
10612,9746,8787,8616,10803,11980,10401,1,0.29556604646857354,1.2075908600363585,-1.0344689134164813e+28,8787.0,2234.0,301242497.7410946,1996.0,-103220300.0,11980.0
10653,9782,8808,8583,10758,11992,10338,1,0.2959657928983082,1.2093667066094986,-1.0222630887061146e+28,8808.0,2210.0,300752841.3524437,2070.0,-102928016.0,11992.0
10546,9721,8778,8656,11122,12602,10561,1,0.3438230534076605,1.2013099554765119,-1.1211269490848182e+28,8778.0,2881.0,329344027.30527985,1890.0,-109084010.0,12602.0
